"gid","sid","dg","order","self_x","self_y","other_x","other_y","choice_x","q","v","s_y","s_x","r_y","r_x","self_z","other_z","pos_reciproc","drop","bf_consciousness","bf_openness","bf_extraversion","bf_agreeableness","bf_neuroticism","pe_D1_stud_natsci","pe_D1_stud_law","pe_D1_stud_socsci","pe_D1_stud_med","cogabil","pe_age","pe_female","pe_monthinc"
10,232010050501,0,12,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,26,9,13,-1,1,0,0,0,8,19,0,250
10,232010050502,0,47,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,17,6,4,3,0,0,0,1,6,20,0,750
10,232010050704,0,13,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,3,10,1,10,2,1,0,0,0,7,21,0,650
10,242010050501,0,5,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,22,6,12,3,1,0,0,0,5,21,1,150
10,242010050704,0,23,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,2,9,3,8,13,1,0,0,0,6,21,1,1000
10,242010050705,0,22,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,8,25,4,9,4,0,0,0,0,10,22,0,500
10,252010050501,0,33,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,22,7,7,5,1,0,0,0,12,23,0,1000
10,252010050502,0,8,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,12,25,6,8,6,1,0,0,0,9,22,0,300
10,252010050704,0,46,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,8,16,1,4,8,1,0,0,0,8,36,0,800
10,252010050705,0,35,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,4,23,6,9,2,1,0,0,0,7,20,0,700
10,262010050501,0,34,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,15,4,11,11,1,0,0,0,10,21,0,150
10,262010050502,0,32,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,20,8,10,0,1,0,0,0,9,21,1,200
10,262010050704,0,14,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,3,24,8,11,12,0,0,1,0,3,23,1,800
10,262010050705,0,46,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,4,14,7,11,4,1,0,0,0,12,20,1,400
10,272010050501,0,30,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,24,5,11,5,1,0,0,0,9,21,0,500
10,272010050502,0,4,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,24,12,9,3,1,0,0,0,11,20,1,300
10,272010050704,0,39,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,17,9,13,-2,1,0,0,0,9,20,0,500
10,272010050705,0,8,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,14,12,7,2,0,0,1,0,5,20,1,800
10,282010050501,0,11,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,23,4,11,8,0,0,1,0,5,20,1,700
10,282010050502,0,12,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,17,1,11,4,0,0,1,0,6,22,0,750
10,282010050704,0,34,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,11,18,4,7,9,0,0,0,0,8,23,1,700
10,282010050705,0,36,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,23,4,7,-1,1,0,0,0,11,24,0,700
10,292010050501,0,22,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,3,23,5,10,4,1,0,0,0,8,23,1,800
10,292010050502,0,50,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,1,10,26,8,6,-2,0,0,0,1,11,21,0,300
10,292010050705,0,29,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,11,17,1,7,4,0,0,0,1,9,21,1,500
10,302010050501,0,11,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,19,7,7,7,1,0,0,0,10,20,1,500
10,302010050502,0,49,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,8,19,2,9,3,0,0,1,0,7,22,1,500
10,302010050705,0,36,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,3,21,5,4,-2,0,0,1,0,7,25,1,600
10,312010050501,0,29,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,22,8,5,3,0,1,0,0,7,26,0,800
10,312010050502,0,19,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,11,25,8,11,0,1,0,0,0,3,19,0,500
10,312010050705,0,2,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,18,0,11,1,1,0,0,0,12,20,0,500
10,322010050501,0,41,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,18,8,8,8,0,0,0,1,6,20,1,450
10,332010050501,0,10,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,19,8,7,-1,0,0,0,1,6,20,0,600
10,342010050501,0,5,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,17,0,9,7,0,0,0,1,8,20,1,300
10,352010050501,0,15,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,13,24,7,8,3,0,0,0,1,6,21,1,150
10,362010050501,0,18,450,210,1020,720,0,1,0,1,1,0,0,70,860,1,1,2,16,6,4,1,0,0,0,1,4,21,0,220
11,12010050501,1,26,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,9,17,4,11,-1,1,0,0,0,3,21,1,400
11,12010050502,1,19,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,5,22,4,7,7,1,0,0,0,7,21,0,800
11,12010050603,1,1,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,4,18,4,9,7,0,0,1,0,3,23,0,800
11,12010050704,1,3,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,8,17,1,10,7,1,0,0,0,9,22,0,500
11,12010050705,1,17,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,10,15,-3,12,0,0,0,0,1,4,19,1,350
11,12010050706,1,8,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,7,23,10,6,4,0,1,0,0,6,20,1,300
11,12010051907,1,21,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,5,18,3,7,-1,1,0,0,0,11,23,0,500
11,22010050501,1,5,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,1,25,2,10,6,1,0,0,0,4,21,0,800
11,22010050603,1,17,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,6,20,10,5,3,1,0,0,0,7,21,0,500
11,22010050704,1,19,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,5,19,4,6,2,1,0,0,0,7,20,1,200
11,22010050705,1,18,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,7,18,7,10,3,1,0,0,0,6,20,1,350
11,22010050706,1,12,450,210,1020,720,0,0,0,1,1,0,0,NA,NA,NA,0,3,13,11,10,9,1,0,0,0,6,21,1,200
11,22010051907,1,9,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,5,16,-2,10,8,1,0,0,0,6,26,0,200
11,32010050501,1,2,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,7,24,5,10,4,1,0,0,0,9,20,0,300
11,32010050502,1,24,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,10,26,5,3,3,1,0,0,0,10,19,1,550
11,32010050603,1,5,450,210,1020,720,1,0,0,1,1,0,0,NA,NA,NA,0,7,26,7,9,8,0,1,0,0,7,21,1,1000
